comments,duration,languages,name,ratings,tags,title,views
15,990,21,Steven Johnson: The Web as a city,"[{'id': 11, 'name': 'Longwinded', 'count': 41}, {'id': 8, 'name': 'Informative', 'count': 114}, {'id': 22, 'name': 'Fascinating', 'count': 55}, {'id': 7, 'name': 'Funny', 'count': 37}, {'id': 10, 'name': 'Inspiring', 'count': 24}, {'id': 25, 'name': 'OK', 'count': 52}, {'id': 2, 'name': 'Confusing', 'count': 16}, {'id': 21, 'name': 'Unconvincing', 'count': 31}, {'id': 9, 'name': 'Ingenious', 'count': 21}, {'id': 26, 'name': 'Obnoxious', 'count': 8}, {'id': 24, 'name': 'Persuasive', 'count': 21}, {'id': 23, 'name': 'Jaw-dropping', 'count': 4}, {'id': 3, 'name': 'Courageous', 'count': 1}, {'id': 1, 'name': 'Beautiful', 'count': 4}]","['cities', 'communication', 'community', 'design', 'global issues', 'web']",The Web as a city,344618
93,284,34,James Burchfield: Playing invisible turntables,"[{'id': 23, 'name': 'Jaw-dropping', 'count': 316}, {'id': 7, 'name': 'Funny', 'count': 175}, {'id': 26, 'name': 'Obnoxious', 'count': 64}, {'id': 9, 'name': 'Ingenious', 'count': 156}, {'id': 22, 'name': 'Fascinating', 'count': 244}, {'id': 25, 'name': 'OK', 'count': 200}, {'id': 21, 'name': 'Unconvincing', 'count': 57}, {'id': 11, 'name': 'Longwinded', 'count': 71}, {'id': 1, 'name': 'Beautiful', 'count': 65}, {'id': 10, 'name': 'Inspiring', 'count': 54}, {'id': 3, 'name': 'Courageous', 'count': 26}, {'id': 2, 'name': 'Confusing', 'count': 17}, {'id': 24, 'name': 'Persuasive', 'count': 8}, {'id': 8, 'name': 'Informative', 'count': 4}]","['entertainment', 'humor', 'illusion', 'live music', 'music', 'performance']",Playing invisible turntables,794615
278,1286,24,Garrett Lisi: An 8-dimensional model of the universe,"[{'id': 11, 'name': 'Longwinded', 'count': 85}, {'id': 2, 'name': 'Confusing', 'count': 376}, {'id': 22, 'name': 'Fascinating', 'count': 879}, {'id': 1, 'name': 'Beautiful', 'count': 597}, {'id': 10, 'name': 'Inspiring', 'count': 321}, {'id': 9, 'name': 'Ingenious', 'count': 295}, {'id': 7, 'name': 'Funny', 'count': 68}, {'id': 8, 'name': 'Informative', 'count': 381}, {'id': 23, 'name': 'Jaw-dropping', 'count': 297}, {'id': 25, 'name': 'OK', 'count': 103}, {'id': 24, 'name': 'Persuasive', 'count': 90}, {'id': 3, 'name': 'Courageous', 'count': 96}, {'id': 21, 'name': 'Unconvincing', 'count': 52}, {'id': 26, 'name': 'Obnoxious', 'count': 21}]","['physics', 'science', 'technology']",An 8-dimensional model of the universe,1491698
23,1060,20,Paola Antonelli: Design and the Elastic Mind,"[{'id': 7, 'name': 'Funny', 'count': 32}, {'id': 9, 'name': 'Ingenious', 'count': 62}, {'id': 10, 'name': 'Inspiring', 'count': 91}, {'id': 1, 'name': 'Beautiful', 'count': 54}, {'id': 8, 'name': 'Informative', 'count': 106}, {'id': 2, 'name': 'Confusing', 'count': 18}, {'id': 25, 'name': 'OK', 'count': 69}, {'id': 22, 'name': 'Fascinating', 'count': 145}, {'id': 3, 'name': 'Courageous', 'count': 13}, {'id': 23, 'name': 'Jaw-dropping', 'count': 17}, {'id': 24, 'name': 'Persuasive', 'count': 23}, {'id': 11, 'name': 'Longwinded', 'count': 48}, {'id': 21, 'name': 'Unconvincing', 'count': 34}, {'id': 26, 'name': 'Obnoxious', 'count': 21}]","['art', 'brain', 'design', 'museums']",Design and the Elastic Mind,313572
43,975,22,Virginia Postrel: On glamour,"[{'id': 11, 'name': 'Longwinded', 'count': 88}, {'id': 26, 'name': 'Obnoxious', 'count': 69}, {'id': 8, 'name': 'Informative', 'count': 171}, {'id': 7, 'name': 'Funny', 'count': 28}, {'id': 22, 'name': 'Fascinating', 'count': 86}, {'id': 24, 'name': 'Persuasive', 'count': 52}, {'id': 21, 'name': 'Unconvincing', 'count': 62}, {'id': 25, 'name': 'OK', 'count': 98}, {'id': 1, 'name': 'Beautiful', 'count': 39}, {'id': 23, 'name': 'Jaw-dropping', 'count': 7}, {'id': 9, 'name': 'Ingenious', 'count': 23}, {'id': 2, 'name': 'Confusing', 'count': 27}, {'id': 3, 'name': 'Courageous', 'count': 8}, {'id': 10, 'name': 'Inspiring', 'count': 31}]","['beauty', 'business', 'culture', 'entertainment', 'illusion', 'marketing', 'performance']",On glamour,379382
120,1009,22,Dean Ornish: Healing through diet,"[{'id': 24, 'name': 'Persuasive', 'count': 425}, {'id': 7, 'name': 'Funny', 'count': 76}, {'id': 8, 'name': 'Informative', 'count': 587}, {'id': 2, 'name': 'Confusing', 'count': 13}, {'id': 10, 'name': 'Inspiring', 'count': 423}, {'id': 22, 'name': 'Fascinating', 'count': 167}, {'id': 1, 'name': 'Beautiful', 'count': 46}, {'id': 25, 'name': 'OK', 'count': 49}, {'id': 23, 'name': 'Jaw-dropping', 'count': 46}, {'id': 3, 'name': 'Courageous', 'count': 27}, {'id': 9, 'name': 'Ingenious', 'count': 36}, {'id': 21, 'name': 'Unconvincing', 'count': 23}, {'id': 11, 'name': 'Longwinded', 'count': 14}, {'id': 26, 'name': 'Obnoxious', 'count': 0}]","['health', 'health care', 'medicine', 'science']",Healing through diet,1110781
111,1000,26,"John Hodgman: Aliens, love -- where are they?","[{'id': 22, 'name': 'Fascinating', 'count': 171}, {'id': 7, 'name': 'Funny', 'count': 1795}, {'id': 1, 'name': 'Beautiful', 'count': 495}, {'id': 9, 'name': 'Ingenious', 'count': 283}, {'id': 26, 'name': 'Obnoxious', 'count': 81}, {'id': 21, 'name': 'Unconvincing', 'count': 71}, {'id': 11, 'name': 'Longwinded', 'count': 170}, {'id': 25, 'name': 'OK', 'count': 226}, {'id': 2, 'name': 'Confusing', 'count': 65}, {'id': 24, 'name': 'Persuasive', 'count': 27}, {'id': 10, 'name': 'Inspiring', 'count': 106}, {'id': 3, 'name': 'Courageous', 'count': 46}, {'id': 23, 'name': 'Jaw-dropping', 'count': 36}, {'id': 8, 'name': 'Informative', 'count': 33}]","['comedy', 'entertainment', 'extraterrestrial life', 'humor', 'love', 'movies', 'physics', 'science', 'time']","Aliens, love -- where are they?",1935213
29,1368,19,Paul MacCready: Nature vs. humans,"[{'id': 9, 'name': 'Ingenious', 'count': 47}, {'id': 10, 'name': 'Inspiring', 'count': 54}, {'id': 8, 'name': 'Informative', 'count': 52}, {'id': 24, 'name': 'Persuasive', 'count': 26}, {'id': 22, 'name': 'Fascinating', 'count': 58}, {'id': 1, 'name': 'Beautiful', 'count': 19}, {'id': 3, 'name': 'Courageous', 'count': 5}, {'id': 7, 'name': 'Funny', 'count': 6}, {'id': 23, 'name': 'Jaw-dropping', 'count': 17}, {'id': 11, 'name': 'Longwinded', 'count': 19}, {'id': 25, 'name': 'OK', 'count': 29}, {'id': 21, 'name': 'Unconvincing', 'count': 2}, {'id': 2, 'name': 'Confusing', 'count': 0}, {'id': 26, 'name': 'Obnoxious', 'count': 0}]","['demo', 'design', 'drones', 'flight', 'green', 'solar energy', 'technology', 'transportation']",Nature vs. humans,197139
243,1135,34,"Mihaly Csikszentmihalyi: Flow, the secret to happiness","[{'id': 22, 'name': 'Fascinating', 'count': 927}, {'id': 8, 'name': 'Informative', 'count': 1079}, {'id': 10, 'name': 'Inspiring', 'count': 1110}, {'id': 11, 'name': 'Longwinded', 'count': 218}, {'id': 25, 'name': 'OK', 'count': 261}, {'id': 21, 'name': 'Unconvincing', 'count': 72}, {'id': 9, 'name': 'Ingenious', 'count': 163}, {'id': 24, 'name': 'Persuasive', 'count': 271}, {'id': 3, 'name': 'Courageous', 'count': 55}, {'id': 23, 'name': 'Jaw-dropping', 'count': 62}, {'id': 1, 'name': 'Beautiful', 'count': 110}, {'id': 2, 'name': 'Confusing', 'count': 113}, {'id': 7, 'name': 'Funny', 'count': 23}, {'id': 26, 'name': 'Obnoxious', 'count': 6}]","['culture', 'global issues', 'happiness', 'music', 'psychology', 'work']","Flow, the secret to happiness",4016531
40,277,32,Kristen Ashburn: The face of AIDS in Africa,"[{'id': 10, 'name': 'Inspiring', 'count': 62}, {'id': 24, 'name': 'Persuasive', 'count': 47}, {'id': 23, 'name': 'Jaw-dropping', 'count': 88}, {'id': 8, 'name': 'Informative', 'count': 65}, {'id': 3, 'name': 'Courageous', 'count': 111}, {'id': 25, 'name': 'OK', 'count': 33}, {'id': 22, 'name': 'Fascinating', 'count': 28}, {'id': 1, 'name': 'Beautiful', 'count': 42}, {'id': 21, 'name': 'Unconvincing', 'count': 4}, {'id': 26, 'name': 'Obnoxious', 'count': 8}, {'id': 7, 'name': 'Funny', 'count': 5}, {'id': 2, 'name': 'Confusing', 'count': 1}, {'id': 9, 'name': 'Ingenious', 'count': 0}, {'id': 11, 'name': 'Longwinded', 'count': 0}]","['AIDS', 'Africa', 'activism', 'disease', 'global issues', 'health', 'media', 'photography', 'science']",The face of AIDS in Africa,352285
212,1101,29,Jared Diamond: Why do societies collapse?,"[{'id': 24, 'name': 'Persuasive', 'count': 503}, {'id': 11, 'name': 'Longwinded', 'count': 164}, {'id': 10, 'name': 'Inspiring', 'count': 231}, {'id': 3, 'name': 'Courageous', 'count': 79}, {'id': 8, 'name': 'Informative', 'count': 729}, {'id': 7, 'name': 'Funny', 'count': 17}, {'id': 22, 'name': 'Fascinating', 'count': 299}, {'id': 9, 'name': 'Ingenious', 'count': 83}, {'id': 25, 'name': 'OK', 'count': 143}, {'id': 26, 'name': 'Obnoxious', 'count': 40}, {'id': 21, 'name': 'Unconvincing', 'count': 104}, {'id': 2, 'name': 'Confusing', 'count': 32}, {'id': 23, 'name': 'Jaw-dropping', 'count': 54}, {'id': 1, 'name': 'Beautiful', 'count': 28}]","['culture', 'environment', 'global issues', 'history', 'social change', 'society', 'technology']",Why do societies collapse?,1636425
87,197,49,Rives: A story of mixed emoticons,"[{'id': 7, 'name': 'Funny', 'count': 630}, {'id': 1, 'name': 'Beautiful', 'count': 211}, {'id': 21, 'name': 'Unconvincing', 'count': 56}, {'id': 25, 'name': 'OK', 'count': 194}, {'id': 10, 'name': 'Inspiring', 'count': 86}, {'id': 22, 'name': 'Fascinating', 'count': 132}, {'id': 26, 'name': 'Obnoxious', 'count': 47}, {'id': 9, 'name': 'Ingenious', 'count': 258}, {'id': 8, 'name': 'Informative', 'count': 32}, {'id': 23, 'name': 'Jaw-dropping', 'count': 36}, {'id': 11, 'name': 'Longwinded', 'count': 23}, {'id': 3, 'name': 'Courageous', 'count': 11}, {'id': 2, 'name': 'Confusing', 'count': 98}, {'id': 24, 'name': 'Persuasive', 'count': 10}]","['design', 'entertainment', 'humor', 'love', 'media', 'poetry', 'storytelling']",A story of mixed emoticons,1594241
41,946,20,Zach Kaplan + Keith Schacht: Toys and materials from the future,"[{'id': 2, 'name': 'Confusing', 'count': 15}, {'id': 22, 'name': 'Fascinating', 'count': 205}, {'id': 7, 'name': 'Funny', 'count': 90}, {'id': 8, 'name': 'Informative', 'count': 142}, {'id': 26, 'name': 'Obnoxious', 'count': 47}, {'id': 25, 'name': 'OK', 'count': 107}, {'id': 9, 'name': 'Ingenious', 'count': 178}, {'id': 10, 'name': 'Inspiring', 'count': 87}, {'id': 21, 'name': 'Unconvincing', 'count': 60}, {'id': 23, 'name': 'Jaw-dropping', 'count': 55}, {'id': 11, 'name': 'Longwinded', 'count': 56}, {'id': 24, 'name': 'Persuasive', 'count': 19}, {'id': 3, 'name': 'Courageous', 'count': 9}, {'id': 1, 'name': 'Beautiful', 'count': 8}]","['business', 'creativity', 'design', 'industrial design', 'invention', 'materials', 'science', 'smell', 'technology', 'toy']",Toys and materials from the future,411647
37,1124,20,Newton Aduaka: The story of Ezra,"[{'id': 3, 'name': 'Courageous', 'count': 137}, {'id': 8, 'name': 'Informative', 'count': 68}, {'id': 10, 'name': 'Inspiring', 'count': 68}, {'id': 22, 'name': 'Fascinating', 'count': 40}, {'id': 11, 'name': 'Longwinded', 'count': 12}, {'id': 25, 'name': 'OK', 'count': 17}, {'id': 24, 'name': 'Persuasive', 'count': 40}, {'id': 23, 'name': 'Jaw-dropping', 'count': 33}, {'id': 1, 'name': 'Beautiful', 'count': 47}, {'id': 2, 'name': 'Confusing', 'count': 7}, {'id': 21, 'name': 'Unconvincing', 'count': 9}, {'id': 9, 'name': 'Ingenious', 'count': 3}, {'id': 7, 'name': 'Funny', 'count': 0}, {'id': 26, 'name': 'Obnoxious', 'count': 0}]","['Africa', 'creativity', 'culture', 'entertainment', 'film', 'global issues', 'war']",The story of Ezra,330238
76,946,30,Jackie Tabick: The balancing act of compassion,"[{'id': 25, 'name': 'OK', 'count': 14}, {'id': 11, 'name': 'Longwinded', 'count': 30}, {'id': 10, 'name': 'Inspiring', 'count': 45}, {'id': 8, 'name': 'Informative', 'count': 11}, {'id': 24, 'name': 'Persuasive', 'count': 21}, {'id': 1, 'name': 'Beautiful', 'count': 28}, {'id': 26, 'name': 'Obnoxious', 'count': 13}, {'id': 21, 'name': 'Unconvincing', 'count': 20}, {'id': 3, 'name': 'Courageous', 'count': 7}, {'id': 2, 'name': 'Confusing', 'count': 7}, {'id': 22, 'name': 'Fascinating', 'count': 8}, {'id': 9, 'name': 'Ingenious', 'count': 3}, {'id': 23, 'name': 'Jaw-dropping', 'count': 2}, {'id': 7, 'name': 'Funny', 'count': 0}]","['charter for compassion', 'compassion', 'global issues', 'religion']",The balancing act of compassion,176245
99,1014,38,Dayananda Saraswati: The profound journey of compassion,"[{'id': 10, 'name': 'Inspiring', 'count': 369}, {'id': 24, 'name': 'Persuasive', 'count': 105}, {'id': 22, 'name': 'Fascinating', 'count': 85}, {'id': 21, 'name': 'Unconvincing', 'count': 9}, {'id': 7, 'name': 'Funny', 'count': 20}, {'id': 11, 'name': 'Longwinded', 'count': 23}, {'id': 25, 'name': 'OK', 'count': 21}, {'id': 2, 'name': 'Confusing', 'count': 7}, {'id': 8, 'name': 'Informative', 'count': 68}, {'id': 1, 'name': 'Beautiful', 'count': 169}, {'id': 26, 'name': 'Obnoxious', 'count': 4}, {'id': 23, 'name': 'Jaw-dropping', 'count': 30}, {'id': 9, 'name': 'Ingenious', 'count': 38}, {'id': 3, 'name': 'Courageous', 'count': 32}]","['charter for compassion', 'compassion', 'global issues', 'religion', 'self']",The profound journey of compassion,273396
30,1118,20,James Forbes: Compassion at the dinner table,"[{'id': 10, 'name': 'Inspiring', 'count': 73}, {'id': 1, 'name': 'Beautiful', 'count': 47}, {'id': 8, 'name': 'Informative', 'count': 12}, {'id': 7, 'name': 'Funny', 'count': 6}, {'id': 26, 'name': 'Obnoxious', 'count': 12}, {'id': 2, 'name': 'Confusing', 'count': 3}, {'id': 11, 'name': 'Longwinded', 'count': 15}, {'id': 24, 'name': 'Persuasive', 'count': 15}, {'id': 21, 'name': 'Unconvincing', 'count': 6}, {'id': 25, 'name': 'OK', 'count': 13}, {'id': 22, 'name': 'Fascinating', 'count': 5}, {'id': 3, 'name': 'Courageous', 'count': 2}, {'id': 23, 'name': 'Jaw-dropping', 'count': 1}, {'id': 9, 'name': 'Ingenious', 'count': 3}]","['charter for compassion', 'compassion', 'faith', 'global issues', 'life', 'religion']",Compassion at the dinner table,204410
152,1007,47,"Feisal Abdul Rauf: Lose your ego, find your compassion","[{'id': 11, 'name': 'Longwinded', 'count': 35}, {'id': 2, 'name': 'Confusing', 'count': 27}, {'id': 21, 'name': 'Unconvincing', 'count': 40}, {'id': 1, 'name': 'Beautiful', 'count': 182}, {'id': 10, 'name': 'Inspiring', 'count': 274}, {'id': 26, 'name': 'Obnoxious', 'count': 24}, {'id': 24, 'name': 'Persuasive', 'count': 56}, {'id': 25, 'name': 'OK', 'count': 16}, {'id': 8, 'name': 'Informative', 'count': 64}, {'id': 23, 'name': 'Jaw-dropping', 'count': 12}, {'id': 22, 'name': 'Fascinating', 'count': 56}, {'id': 9, 'name': 'Ingenious', 'count': 8}, {'id': 3, 'name': 'Courageous', 'count': 38}, {'id': 7, 'name': 'Funny', 'count': 0}]","['charter for compassion', 'compassion', 'global issues', 'religion']","Lose your ego, find your compassion",433202
46,1087,27,Robert Thurman: Expanding your circle of compassion,"[{'id': 10, 'name': 'Inspiring', 'count': 148}, {'id': 8, 'name': 'Informative', 'count': 23}, {'id': 11, 'name': 'Longwinded', 'count': 20}, {'id': 2, 'name': 'Confusing', 'count': 9}, {'id': 21, 'name': 'Unconvincing', 'count': 11}, {'id': 24, 'name': 'Persuasive', 'count': 35}, {'id': 1, 'name': 'Beautiful', 'count': 60}, {'id': 25, 'name': 'OK', 'count': 26}, {'id': 26, 'name': 'Obnoxious', 'count': 12}, {'id': 9, 'name': 'Ingenious', 'count': 6}, {'id': 22, 'name': 'Fascinating', 'count': 27}, {'id': 3, 'name': 'Courageous', 'count': 14}, {'id': 7, 'name': 'Funny', 'count': 18}, {'id': 23, 'name': 'Jaw-dropping', 'count': 8}]","['charter for compassion', 'compassion', 'global issues', 'love', 'religion', 'self']",Expanding your circle of compassion,304800
82,1016,21,Robert Wright: The evolution of compassion,"[{'id': 11, 'name': 'Longwinded', 'count': 32}, {'id': 21, 'name': 'Unconvincing', 'count': 20}, {'id': 8, 'name': 'Informative', 'count': 88}, {'id': 22, 'name': 'Fascinating', 'count': 42}, {'id': 24, 'name': 'Persuasive', 'count': 64}, {'id': 7, 'name': 'Funny', 'count': 8}, {'id': 10, 'name': 'Inspiring', 'count': 57}, {'id': 23, 'name': 'Jaw-dropping', 'count': 4}, {'id': 26, 'name': 'Obnoxious', 'count': 7}, {'id': 25, 'name': 'OK', 'count': 27}, {'id': 9, 'name': 'Ingenious', 'count': 11}, {'id': 3, 'name': 'Courageous', 'count': 15}, {'id': 1, 'name': 'Beautiful', 'count': 8}, {'id': 2, 'name': 'Confusing', 'count': 13}]","['charter for compassion', 'compassion', 'evolution', 'global issues']",The evolution of compassion,236002
30,731,20,Graham Hawkes: A flight through the ocean,"[{'id': 21, 'name': 'Unconvincing', 'count': 34}, {'id': 26, 'name': 'Obnoxious', 'count': 85}, {'id': 3, 'name': 'Courageous', 'count': 17}, {'id': 9, 'name': 'Ingenious', 'count': 78}, {'id': 8, 'name': 'Informative', 'count': 66}, {'id': 25, 'name': 'OK', 'count': 64}, {'id': 22, 'name': 'Fascinating', 'count': 98}, {'id': 23, 'name': 'Jaw-dropping', 'count': 24}, {'id': 1, 'name': 'Beautiful', 'count': 45}, {'id': 11, 'name': 'Longwinded', 'count': 41}, {'id': 10, 'name': 'Inspiring', 'count': 53}, {'id': 24, 'name': 'Persuasive', 'count': 17}, {'id': 2, 'name': 'Confusing', 'count': 14}, {'id': 7, 'name': 'Funny', 'count': 11}]","['business', 'design', 'exploration', 'invention', 'oceans', 'technology']",A flight through the ocean,375491
27,1019,20,James Surowiecki: The power and the danger of online crowds,"[{'id': 22, 'name': 'Fascinating', 'count': 65}, {'id': 24, 'name': 'Persuasive', 'count': 72}, {'id': 21, 'name': 'Unconvincing', 'count': 10}, {'id': 25, 'name': 'OK', 'count': 54}, {'id': 8, 'name': 'Informative', 'count': 138}, {'id': 10, 'name': 'Inspiring', 'count': 48}, {'id': 9, 'name': 'Ingenious', 'count': 17}, {'id': 11, 'name': 'Longwinded', 'count': 21}, {'id': 3, 'name': 'Courageous', 'count': 13}, {'id': 1, 'name': 'Beautiful', 'count': 4}, {'id': 23, 'name': 'Jaw-dropping', 'count': 5}, {'id': 7, 'name': 'Funny', 'count': 2}, {'id': 2, 'name': 'Confusing', 'count': 2}, {'id': 26, 'name': 'Obnoxious', 'count': 1}]","['culture', 'entertainment', 'media', 'social change', 'social media', 'technology']",The power and the danger of online crowds,429084
108,1164,28,John Francis: Walk the earth ... my 17-year vow of silence,"[{'id': 10, 'name': 'Inspiring', 'count': 754}, {'id': 1, 'name': 'Beautiful', 'count': 272}, {'id': 3, 'name': 'Courageous', 'count': 279}, {'id': 22, 'name': 'Fascinating', 'count': 274}, {'id': 8, 'name': 'Informative', 'count': 36}, {'id': 7, 'name': 'Funny', 'count': 58}, {'id': 9, 'name': 'Ingenious', 'count': 35}, {'id': 23, 'name': 'Jaw-dropping', 'count': 136}, {'id': 24, 'name': 'Persuasive', 'count': 94}, {'id': 25, 'name': 'OK', 'count': 30}, {'id': 11, 'name': 'Longwinded', 'count': 15}, {'id': 2, 'name': 'Confusing', 'count': 15}, {'id': 21, 'name': 'Unconvincing', 'count': 9}, {'id': 26, 'name': 'Obnoxious', 'count': 1}]","['activism', 'environment', 'global issues']",Walk the earth ... my 17-year vow of silence,723599
139,1678,26,Tim Brown: Tales of creativity and play,"[{'id': 9, 'name': 'Ingenious', 'count': 225}, {'id': 10, 'name': 'Inspiring', 'count': 766}, {'id': 7, 'name': 'Funny', 'count': 321}, {'id': 8, 'name': 'Informative', 'count': 457}, {'id': 24, 'name': 'Persuasive', 'count': 288}, {'id': 3, 'name': 'Courageous', 'count': 63}, {'id': 25, 'name': 'OK', 'count': 112}, {'id': 11, 'name': 'Longwinded', 'count': 106}, {'id': 22, 'name': 'Fascinating', 'count': 336}, {'id': 1, 'name': 'Beautiful', 'count': 44}, {'id': 2, 'name': 'Confusing', 'count': 19}, {'id': 23, 'name': 'Jaw-dropping', 'count': 55}, {'id': 26, 'name': 'Obnoxious', 'count': 5}, {'id': 21, 'name': 'Unconvincing', 'count': 23}]","['art', 'creativity', 'design', 'education', 'play', 'toy']",Tales of creativity and play,1893522
65,953,23,Luca Turin: The science of scent,"[{'id': 9, 'name': 'Ingenious', 'count': 179}, {'id': 23, 'name': 'Jaw-dropping', 'count': 24}, {'id': 8, 'name': 'Informative', 'count': 239}, {'id': 1, 'name': 'Beautiful', 'count': 38}, {'id': 22, 'name': 'Fascinating', 'count': 267}, {'id': 25, 'name': 'OK', 'count': 26}, {'id': 2, 'name': 'Confusing', 'count': 20}, {'id': 7, 'name': 'Funny', 'count': 44}, {'id': 24, 'name': 'Persuasive', 'count': 63}, {'id': 10, 'name': 'Inspiring', 'count': 51}, {'id': 3, 'name': 'Courageous', 'count': 12}, {'id': 21, 'name': 'Unconvincing', 'count': 8}, {'id': 11, 'name': 'Longwinded', 'count': 7}, {'id': 26, 'name': 'Obnoxious', 'count': 7}]","['Senses', 'beauty', 'happiness', 'materials', 'science', 'smell', 'technology']",The science of scent,487630
57,745,25,Lee Smolin: Science and democracy,"[{'id': 24, 'name': 'Persuasive', 'count': 68}, {'id': 8, 'name': 'Informative', 'count': 92}, {'id': 22, 'name': 'Fascinating', 'count': 73}, {'id': 21, 'name': 'Unconvincing', 'count': 65}, {'id': 25, 'name': 'OK', 'count': 61}, {'id': 2, 'name': 'Confusing', 'count': 40}, {'id': 11, 'name': 'Longwinded', 'count': 42}, {'id': 9, 'name': 'Ingenious', 'count': 32}, {'id': 10, 'name': 'Inspiring', 'count': 42}, {'id': 7, 'name': 'Funny', 'count': 10}, {'id': 3, 'name': 'Courageous', 'count': 12}, {'id': 26, 'name': 'Obnoxious', 'count': 9}, {'id': 23, 'name': 'Jaw-dropping', 'count': 10}, {'id': 1, 'name': 'Beautiful', 'count': 6}]","['String theory', 'community', 'global issues', 'physics', 'politics', 'science', 'social change']",Science and democracy,258922
45,1389,20,Samantha Power: A complicated hero in the war on dictatorship,"[{'id': 3, 'name': 'Courageous', 'count': 112}, {'id': 10, 'name': 'Inspiring', 'count': 176}, {'id': 24, 'name': 'Persuasive', 'count': 121}, {'id': 23, 'name': 'Jaw-dropping', 'count': 16}, {'id': 8, 'name': 'Informative', 'count': 151}, {'id': 22, 'name': 'Fascinating', 'count': 59}, {'id': 26, 'name': 'Obnoxious', 'count': 9}, {'id': 21, 'name': 'Unconvincing', 'count': 26}, {'id': 25, 'name': 'OK', 'count': 37}, {'id': 1, 'name': 'Beautiful', 'count': 25}, {'id': 11, 'name': 'Longwinded', 'count': 45}, {'id': 2, 'name': 'Confusing', 'count': 2}, {'id': 9, 'name': 'Ingenious', 'count': 4}, {'id': 7, 'name': 'Funny', 'count': 0}]","['communication', 'global issues', 'morality', 'politics', 'terrorism', 'war']",A complicated hero in the war on dictatorship,456095
29,1697,21,Charles Elachi: The story behind the Mars Rovers,"[{'id': 25, 'name': 'OK', 'count': 45}, {'id': 8, 'name': 'Informative', 'count': 127}, {'id': 7, 'name': 'Funny', 'count': 30}, {'id': 9, 'name': 'Ingenious', 'count': 36}, {'id': 10, 'name': 'Inspiring', 'count': 62}, {'id': 22, 'name': 'Fascinating', 'count': 164}, {'id': 1, 'name': 'Beautiful', 'count': 41}, {'id': 23, 'name': 'Jaw-dropping', 'count': 61}, {'id': 11, 'name': 'Longwinded', 'count': 20}, {'id': 3, 'name': 'Courageous', 'count': 5}, {'id': 26, 'name': 'Obnoxious', 'count': 6}, {'id': 24, 'name': 'Persuasive', 'count': 9}, {'id': 2, 'name': 'Confusing', 'count': 7}, {'id': 21, 'name': 'Unconvincing', 'count': 3}]","['Mars', 'Planets', 'design', 'exploration', 'physics', 'robots', 'science', 'solar system', 'space', 'technology']",The story behind the Mars Rovers,558734
80,957,30,Ursus Wehrli: Tidying up art,"[{'id': 24, 'name': 'Persuasive', 'count': 21}, {'id': 23, 'name': 'Jaw-dropping', 'count': 45}, {'id': 1, 'name': 'Beautiful', 'count': 77}, {'id': 10, 'name': 'Inspiring', 'count': 128}, {'id': 7, 'name': 'Funny', 'count': 1080}, {'id': 11, 'name': 'Longwinded', 'count': 93}, {'id': 22, 'name': 'Fascinating', 'count': 167}, {'id': 9, 'name': 'Ingenious', 'count': 324}, {'id': 25, 'name': 'OK', 'count': 127}, {'id': 8, 'name': 'Informative', 'count': 20}, {'id': 21, 'name': 'Unconvincing', 'count': 30}, {'id': 3, 'name': 'Courageous', 'count': 54}, {'id': 26, 'name': 'Obnoxious', 'count': 70}, {'id': 2, 'name': 'Confusing', 'count': 10}]","['art', 'comedy', 'design', 'entertainment', 'humor', 'performance', 'simplicity']",Tidying up art,1314201
51,1403,17,Stewart Brand: The Long Now,"[{'id': 10, 'name': 'Inspiring', 'count': 84}, {'id': 3, 'name': 'Courageous', 'count': 16}, {'id': 23, 'name': 'Jaw-dropping', 'count': 17}, {'id': 21, 'name': 'Unconvincing', 'count': 22}, {'id': 11, 'name': 'Longwinded', 'count': 88}, {'id': 9, 'name': 'Ingenious', 'count': 35}, {'id': 1, 'name': 'Beautiful', 'count': 57}, {'id': 22, 'name': 'Fascinating', 'count': 69}, {'id': 8, 'name': 'Informative', 'count': 45}, {'id': 24, 'name': 'Persuasive', 'count': 11}, {'id': 25, 'name': 'OK', 'count': 22}, {'id': 2, 'name': 'Confusing', 'count': 19}, {'id': 26, 'name': 'Obnoxious', 'count': 11}, {'id': 7, 'name': 'Funny', 'count': 3}]","['TED Brain Trust', 'architecture', 'art', 'design', 'future', 'technology']",The Long Now,242975
89,856,23,Isaac Mizrahi: Fashion and creativity,"[{'id': 1, 'name': 'Beautiful', 'count': 78}, {'id': 7, 'name': 'Funny', 'count': 325}, {'id': 8, 'name': 'Informative', 'count': 44}, {'id': 11, 'name': 'Longwinded', 'count': 103}, {'id': 25, 'name': 'OK', 'count': 140}, {'id': 26, 'name': 'Obnoxious', 'count': 97}, {'id': 10, 'name': 'Inspiring', 'count': 125}, {'id': 9, 'name': 'Ingenious', 'count': 39}, {'id': 21, 'name': 'Unconvincing', 'count': 60}, {'id': 2, 'name': 'Confusing', 'count': 95}, {'id': 3, 'name': 'Courageous', 'count': 26}, {'id': 22, 'name': 'Fascinating', 'count': 74}, {'id': 23, 'name': 'Jaw-dropping', 'count': 9}, {'id': 24, 'name': 'Persuasive', 'count': 6}]","['business', 'creativity', 'design', 'entertainment', 'fashion', 'humor', 'media']",Fashion and creativity,900005
